,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
4,Rashard Anderson,CB,206.0,4.55,34.0,123.0,7.18,4.15,14.0,23.0,187.96
9,Reggie Austin,CB,175.0,4.44,35.0,119.0,7.03,4.14,4.0,125.0,175.26
13,David Barrett,CB,199.0,4.44,37.5,116.0,6.81,4.04,24.0,102.0,152.4
14,William Bartee,CB,192.0,4.43,38.5,124.0,6.7,3.99,13.0,54.0,185.42000000000002
17,Robert Bean,CB,178.0,4.5,34.5,122.0,6.87,4.2,6.0,133.0,154.94
132,Antwan Harris,CB,186.0,4.34,39.0,121.0,6.75,4.01,8.0,187.0,175.26
133,Lloyd Harrison,CB,190.0,4.5,37.5,119.0,7.12,4.25,0.0,64.0,152.4
174,Ben Kelly,CB,183.0,4.53,36.0,116.0,6.63,3.95,0.0,84.0,175.26
194,David Macklin,CB,194.0,4.54,37.5,120.0,6.9,4.09,25.0,91.0,175.26
195,Anthony Malbrough,CB,184.0,4.44,35.5,117.0,6.73,4.0,2.0,130.0,175.26
239,Hank Poteat,CB,197.0,4.57,37.0,126.0,6.66,4.0,3.0,77.0,152.4
261,Tony Scott,CB,193.0,4.5,34.0,116.0,7.45,4.24,4.0,179.0,152.4
299,Darrick Vaughn,CB,196.0,4.53,36.5,121.0,7.09,4.16,26.0,211.0,154.94
308,Jason Webster,CB,180.0,4.42,35.5,122.0,6.76,3.98,20.0,48.0,175.26
311,Damen Wheeler,CB,179.0,4.51,35.0,115.0,7.21,4.27,0.0,203.0,175.26
2,Will Allen,CB,192.0,4.44,39.5,121.0,6.78,3.9,32.0,22.0,152.4
16,Gary Baxter,CB,204.0,4.53,37.5,122.0,7.39,4.21,20.0,62.0,187.96
26,Harold Blackmon,CB,210.0,4.54,37.0,121.0,7.03,4.28,2.0,210.0,154.94
45,Jerametrius Butler,CB,173.0,4.57,36.0,121.0,7.22,4.4,16.0,145.0,152.4
126,Jamie Henderson,CB,202.0,4.48,40.5,125.0,6.9,4.12,2.0,101.0,185.42000000000002
128,Anthony Henry,CB,198.0,4.6,41.0,126.0,6.9,4.2,23.0,97.0,185.42000000000002
131,Renaldo Hill,CB,178.0,4.68,35.5,116.0,7.07,4.18,18.0,202.0,154.94
137,Rashad Holman,CB,186.0,4.58,42.0,129.0,7.09,3.85,4.0,179.0,154.94
162,Bhawoh Jue,CB,199.0,4.54,34.5,113.0,7.21,4.27,15.0,71.0,182.88
166,Eric Kelly,CB,199.0,4.46,36.0,120.0,7.24,4.18,20.0,69.0,152.4
213,Leonard Myers,CB,190.0,4.65,37.0,120.0,7.21,4.16,1.0,200.0,152.4
257,Carey Scott,CB,208.0,4.65,30.0,113.0,7.52,4.18,0.0,189.0,154.94
315,Brock Williams,CB,183.0,4.46,42.5,130.0,6.7,4.21,3.0,86.0,152.4
35,Sheldon Brown,CB,196.0,4.47,36.5,120.0,7.0,4.24,24.0,59.0,152.4
92,Demarcus Faggins,CB,178.0,4.57,36.5,121.0,6.64,3.92,11.0,173.0,152.4
114,LaVar Glover,CB,177.0,4.59,37.0,117.0,7.18,4.29,0.0,212.0,175.26
183,Andre Lott,CB,194.0,4.48,36.5,119.0,7.1,4.01,8.0,159.0,152.4
184,Omare Lowe,CB,196.0,4.58,35.5,118.0,6.65,3.97,2.0,161.0,185.42000000000002
309,Dante Wesley,CB,211.0,4.43,35.0,116.0,7.25,4.22,7.0,100.0,185.42000000000002
47,Torrie Cox,CB,181.0,4.55,32.0,119.0,6.98,4.2,5.0,205.0,175.26
85,Kevin Garrett,CB,194.0,4.32,35.0,129.0,6.9,3.96,6.0,172.0,175.26
96,DeJuan Groce,CB,192.0,4.49,36.0,118.0,6.82,4.0,20.0,107.0,152.4
160,Michael Lehan,CB,196.0,4.48,34.5,119.0,6.95,4.15,10.0,152.0,182.88
175,Ricky Manning,CB,185.0,4.52,36.5,117.0,7.11,4.17,23.0,82.0,175.26
189,Terrence McGee,CB,201.0,4.57,37.0,126.0,6.88,4.09,41.0,111.0,152.4
209,Terence Newman,CB,189.0,4.37,41.0,136.0,6.88,3.83,37.0,5.0,152.4
242,Asante Samuel,CB,185.0,4.49,35.5,120.0,6.95,4.14,38.0,120.0,154.94
275,Donald Strickland,CB,187.0,4.53,35.5,121.0,6.98,4.04,5.0,90.0,152.4
283,Charles Tillman,CB,207.0,4.49,40.0,131.0,7.05,3.89,30.0,35.0,185.42000000000002
287,Marcus Trufant,CB,199.0,4.38,39.0,127.0,6.87,4.32,39.0,11.0,154.94
288,B.J. Tucker,CB,188.0,4.34,35.0,123.0,7.25,4.2,0.0,178.0,152.4
297,Shane Walton,CB,184.0,4.67,31.0,109.0,7.05,4.29,0.0,170.0,154.94
304,Dennis Weathersby,CB,204.0,4.38,38.0,125.0,7.14,4.13,0.0,98.0,185.42000000000002
317,Eugene Wilson,CB,192.0,4.48,38.0,122.0,7.18,4.05,24.0,36.0,152.4
320,Andre Woolfolk,CB,197.0,4.47,35.5,128.0,6.78,3.96,12.0,28.0,185.42000000000002
98,Rich Gardner,CB,199.0,4.46,36.5,123.0,6.91,3.91,6.0,92.0,154.94
125,Von Hutchins,CB,185.0,4.46,34.5,115.0,7.05,4.06,14.0,173.0,152.4
229,Dunta Robinson,CB,186.0,4.34,36.0,120.0,6.97,3.75,21.0,10.0,154.94
250,Jeff Shoate,CB,189.0,4.62,36.0,121.0,7.0,3.88,0.0,152.0,152.4
283,Joey Thomas,CB,195.0,4.44,38.5,122.0,6.82,3.88,4.0,70.0,185.42000000000002
285,Chris Thompson,CB,189.0,4.5,35.0,117.0,7.09,4.14,2.0,150.0,182.88
300,Michael Waddell,CB,187.0,4.31,37.5,121.0,6.84,4.03,9.0,124.0,154.94
338,Dexter Wynn,CB,175.0,4.49,39.0,123.0,6.7,3.9,4.0,192.0,175.26
