,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
44,Leonardo Carson,DE,283.0,5.06,28.0,106.0,7.82,4.75,14.0,113.0,185.42000000000002
55,Kendrick Clancy,DT,283.0,5.25,27.5,108.0,7.98,4.65,8.0,72.0,185.42000000000002
103,Byron Frisch,DE,281.0,4.73,34.5,114.0,7.2,4.41,6.0,93.0,193.04
113,Ernest Grant,DT,316.0,5.31,29.5,98.0,8.0,5.03,8.0,167.0,195.58
121,Cornelius Griffin,DE,297.0,4.9,31.0,111.0,7.63,4.62,36.0,42.0,190.5
139,Chris Hovan,DT,305.0,4.99,30.0,101.0,6.85,4.16,30.0,25.0,187.96
141,Darren Howard,DE,281.0,5.09,29.0,108.0,7.0,4.32,31.0,33.0,193.04
147,Jabari Issa,DT,296.0,5.05,31.5,105.0,7.69,4.72,8.0,176.0,195.58
185,Leif Larsen,DT,300.0,5.08,30.0,110.0,7.46,4.37,6.0,194.0,193.04
202,Alvin McKinley,DT,289.0,5.09,27.5,102.0,7.73,4.61,7.0,120.0,193.04
206,Rob Meier,DE,284.0,4.99,30.5,113.0,7.49,4.52,15.0,241.0,195.58
249,Fred Robbins,DT,312.0,5.09,29.5,94.0,7.72,4.72,21.0,55.0,193.04
294,Mao Tosi,DT,310.0,5.26,28.5,99.0,7.72,4.6,10.0,136.0,195.58
306,Steve Warren,DT,307.0,5.1,30.5,105.0,7.97,4.56,4.0,74.0,185.42000000000002
320,Josh Williams,DT,282.0,4.9,30.5,111.0,7.22,4.25,19.0,122.0,190.5
326,Brian Young,DE,278.0,4.94,29.5,106.0,7.2,4.47,27.0,139.0,187.96
151,Kris Jenkins,DT,318.0,5.19,31.0,108.0,7.85,4.4,41.0,44.0,195.58
170,Ross Kolodziej,DE,290.0,4.87,34.5,111.0,7.37,4.36,12.0,230.0,190.5
207,Mario Monds,DT,342.0,5.04,28.5,99.0,8.06,4.73,3.0,186.0,190.5
258,Cedric Scott,DE,281.0,4.86,35.5,107.0,7.67,4.37,3.0,114.0,198.12
267,Kenny Smith,DT,299.0,5.24,30.0,100.0,8.0,4.8,14.0,81.0,190.5
274,Daleroy Stewart,DT,309.0,4.9,33.0,110.0,7.75,4.72,4.0,171.0,190.5
279,Marcus Stroud,DT,321.0,5.13,30.0,110.0,8.07,4.72,45.0,13.0,198.12
324,Shawn Worthen,DT,310.0,5.18,30.0,103.0,7.5,4.61,0.0,130.0,185.42000000000002
325,Ellis Wyms,DE,285.0,4.97,28.0,103.0,7.71,4.47,8.0,183.0,190.5
15,Justin Bannan,DT,300.0,5.0,29.0,99.0,7.31,4.24,10.0,139.0,190.5
20,Chad Beasley,DT,303.0,5.15,31.5,104.0,7.75,4.6,4.0,218.0,195.58
24,Rocky Bernard,DT,294.0,4.96,33.0,108.0,7.43,4.41,19.0,146.0,190.5
70,Dorsett Davis,DT,304.0,5.0,31.0,109.0,7.83,4.67,2.0,96.0,195.58
107,Eddie Freeman,DT,310.0,4.91,34.5,111.0,7.85,4.81,2.0,43.0,195.58
