,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
87,John Engelberger,DE,260.0,4.73,34.0,115.0,6.95,4.28,25.0,35.0,193.04
95,Erik Flowers,DE,271.0,4.75,33.0,114.0,7.21,4.15,6.0,26.0,193.04
122,Clark Haggans,OLB,253.0,4.97,31.5,109.0,7.12,4.21,13.0,137.0,190.5
298,Brian Urlacher,OLB,258.0,4.59,34.0,122.0,6.94,4.18,60.0,9.0,193.04
18,Monty Beisel,DE,270.0,4.83,34.5,110.0,7.32,4.28,9.0,107.0,193.04
67,Chris Cooper,DE,272.0,4.95,35.5,114.0,7.12,4.21,11.0,184.0,195.58
124,Reggie Hayward,DE,255.0,4.91,41.0,127.0,7.43,4.43,25.0,87.0,195.58
204,Dwayne Missouri,DE,258.0,5.03,38.0,116.0,7.5,4.4,0.0,231.0,195.58
256,Aaron Schobel,DE,263.0,4.75,38.0,119.0,7.16,4.03,37.0,46.0,193.04
285,Joe Tafoya,DE,269.0,4.91,33.0,111.0,7.65,4.4,7.0,234.0,193.04
10,Akin Ayodele,OLB,257.0,4.81,35.0,121.0,7.0,4.12,34.0,89.0,187.96
34,Raheem Brock,DE,257.0,4.93,34.0,115.0,7.09,4.23,30.0,238.0,193.04
75,Ryan Denney,DE,276.0,4.86,33.0,107.0,7.18,4.25,16.0,61.0,200.66
109,Scott Fujita,OLB,248.0,4.64,42.0,122.0,7.09,4.21,30.0,143.0,195.58
122,Jarvis Green,DE,272.0,4.87,31.0,109.0,7.52,4.25,18.0,126.0,190.5
127,Carlos Hall,DE,259.0,4.67,40.0,129.0,6.97,4.19,36.0,240.0,193.04
132,Napoleon Harris,OLB,253.0,4.55,34.0,115.0,7.15,4.44,26.0,23.0,190.5
162,Dennis Johnson,DE,258.0,4.82,35.5,119.0,7.21,4.36,15.0,98.0,195.58
224,Will Overstreet,DE,259.0,4.65,32.5,116.0,7.37,4.31,2.0,80.0,190.5
250,Nick Rogers,OLB,251.0,4.73,36.0,117.0,7.02,4.19,9.0,177.0,187.96
262,Greg Scott,DE,268.0,4.9,32.5,110.0,7.5,4.61,0.0,234.0,193.04
278,John Stamper,DE,265.0,4.98,36.5,112.0,7.35,4.22,0.0,193.0,193.04
93,Brandon Green,DE,267.0,4.78,32.0,105.0,7.23,4.32,15.0,176.0,187.96
120,Alonzo Jackson,DE,266.0,4.86,37.0,114.0,7.69,4.5,3.0,59.0,193.04
187,Jerome McDougle,DE,264.0,4.67,34.0,117.0,7.28,4.58,6.0,15.0,187.96
307,DeWayne White,DE,273.0,4.76,33.0,112.0,7.22,4.32,20.0,64.0,187.96
311,Jimmy Wilkerson,DE,271.0,4.91,34.5,114.0,7.45,4.4,9.0,189.0,190.5
312,Andrew Williams,DE,263.0,4.7,32.0,113.0,7.53,4.47,2.0,89.0,187.96
5,Jared Allen,DE,265.0,4.72,33.0,120.0,7.11,4.34,57.0,126.0,198.12
12,Jason Babin,DE,260.0,4.62,34.0,121.0,7.03,4.14,14.0,27.0,190.5
103,Roderick Green,DE,245.0,4.7,34.5,129.0,7.26,4.04,6.0,153.0,187.96
131,Trevor Johnson,DE,260.0,4.8,35.5,110.0,7.06,4.08,2.0,234.0,195.58
158,Travis Laboy,DE,263.0,4.69,35.5,126.0,7.01,4.07,17.0,42.0,190.5
194,Antwan Odom,DE,274.0,4.71,37.0,114.0,7.3,4.44,20.0,57.0,198.12
209,Shaun Phillips,DE,255.0,4.78,33.0,114.0,6.95,4.23,26.0,98.0,190.5
240,Bo Schobel,DE,271.0,4.8,32.5,109.0,6.94,4.38,6.0,103.0,195.58
289,Reggie Torbor,DE,254.0,4.65,34.0,120.0,7.48,4.46,14.0,97.0,187.96
25,Darryl Blackstock,OLB,247.0,4.7,39.0,126.0,7.05,4.29,8.0,95.0,190.5
84,Chauncey Davis,DE,273.0,4.8,37.0,118.0,7.66,4.44,18.0,128.0,187.96
167,Erasmus James,DE,266.0,4.81,37.5,122.0,7.56,4.37,12.0,18.0,193.04
189,Khari Long,DE,257.0,4.74,38.5,121.0,7.22,4.07,0.0,199.0,193.04
209,David McMillan,DE,262.0,4.58,34.0,120.0,7.11,4.07,4.0,139.0,190.5
217,Mike Montgomery,DE,276.0,5.05,34.5,115.0,7.38,4.32,9.0,180.0,195.58
219,Eric Moore,DE,262.0,4.84,29.5,108.0,7.62,4.5,2.0,186.0,193.04
249,David Pollack,DE,265.0,4.75,37.0,120.0,6.86,3.9,6.0,17.0,187.96
252,Brady Poppinga,DE,259.0,4.59,35.5,110.0,7.27,4.38,21.0,125.0,190.5
297,Bill Swancutt,DE,270.0,5.0,34.0,113.0,7.35,4.24,0.0,184.0,193.04
313,DeMarcus Ware,OLB,251.0,4.56,38.5,122.0,6.83,4.07,64.0,11.0,193.04
4,Victor Adeyanju,DE,274.0,4.86,32.0,112.0,7.37,4.41,28.0,113.0,193.04
8,Mark Anderson,DE,254.0,4.62,42.0,127.0,6.95,4.22,18.0,159.0,193.04
19,Charles Bennett,DE,258.0,4.7,33.5,115.0,7.48,4.52,0.0,241.0,193.04
69,Ray Edwards,DE,273.0,4.81,39.0,114.0,7.71,4.57,31.0,127.0,195.58
80,Chris Gocong,DE,263.0,4.7,38.5,123.0,7.05,4.08,33.0,71.0,187.96
94,Parys Haralson,DE,253.0,4.8,32.0,115.0,7.37,4.26,25.0,140.0,185.42000000000002
104,A.J. Hawk,OLB,248.0,4.59,40.0,115.0,6.82,3.96,41.0,5.0,185.42000000000002
