,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
22,Marcus Bell,ILB,237.0,4.78,31.5,111.0,7.17,4.33,14.0,116.0,187.96
37,Keith Bulluck,OLB,244.0,4.47,38.0,119.0,7.33,4.13,45.0,30.0,190.5
108,Kabeer Gbaja-Biamila,OLB,243.0,4.65,34.0,120.0,6.9,4.28,31.0,149.0,193.04
110,Ian Gold,OLB,221.0,4.56,33.0,115.0,6.97,4.19,25.0,40.0,185.42000000000002
193,Dustin Lyman,ILB,259.0,4.7,35.0,118.0,6.86,4.06,2.0,87.0,193.04
217,Rob Morris,ILB,250.0,4.77,33.0,113.0,6.93,4.17,23.0,28.0,187.96
237,DaShon Polk,OLB,233.0,4.75,32.0,111.0,7.43,4.45,6.0,251.0,187.96
258,Sekou Sanyika,OLB,241.0,4.75,32.5,111.0,7.33,4.38,6.0,215.0,190.5
270,Mark Simoneau,OLB,237.0,4.6,36.0,117.0,7.08,4.09,21.0,67.0,182.88
271,Peter Sirmon,ILB,246.0,4.84,34.5,115.0,7.21,4.27,22.0,128.0,187.96
272,T.J. Slaughter,ILB,247.0,4.87,30.0,112.0,7.08,4.26,15.0,92.0,182.88
297,Jeff Ulbrich,ILB,249.0,4.65,32.0,109.0,7.23,4.3,25.0,86.0,182.88
20,Kendrell Bell,ILB,234.0,4.64,38.5,124.0,7.25,4.5,36.0,39.0,185.42000000000002
54,Quinton Caver,ILB,227.0,4.67,37.5,118.0,7.66,4.25,2.0,55.0,193.04
59,Patrick Chukwurah,OLB,238.0,4.77,40.0,119.0,7.34,4.21,7.0,157.0,187.96
107,Jason Glenn,OLB,236.0,4.94,36.0,115.0,7.16,4.31,6.0,173.0,185.42000000000002
111,Morlon Greenwood,OLB,237.0,4.69,33.5,112.0,7.62,4.08,29.0,88.0,182.88
271,Brandon Spoon,ILB,245.0,4.75,35.5,110.0,7.3,4.15,10.0,110.0,187.96
272,Markus Steele,OLB,232.0,4.62,33.0,119.0,7.15,4.5,16.0,122.0,190.5
310,Eric Westmoreland,OLB,236.0,4.63,36.5,115.0,7.47,4.21,10.0,73.0,182.88
4,James Allen,OLB,240.0,4.62,38.0,126.0,7.59,4.21,18.0,82.0,190.5
23,Kevin Bentley,OLB,243.0,4.68,39.0,120.0,6.71,3.83,16.0,101.0,182.88
29,Rocky Boiman,OLB,242.0,4.6,35.0,122.0,6.86,4.05,9.0,133.0,193.04
40,Courtland Bullard,OLB,234.0,4.69,36.5,123.0,6.99,4.28,4.0,167.0,190.5
177,Ben Leber,OLB,244.0,4.62,32.5,114.0,6.75,4.25,33.0,71.0,190.5
209,Quincy Monk,ILB,250.0,4.82,33.5,113.0,7.48,4.38,3.0,245.0,190.5
273,Raonall Smith,OLB,244.0,4.53,42.0,125.0,7.1,4.11,7.0,38.0,187.96
287,Ben Taylor,ILB,236.0,4.83,35.5,120.0,6.56,4.09,14.0,111.0,187.96
293,Robert Thomas,OLB,229.0,4.51,34.0,116.0,7.21,4.1,20.0,31.0,182.88
296,David Thornton,OLB,236.0,4.62,35.5,117.0,6.93,4.09,26.0,106.0,187.96
321,Will Witherspoon,OLB,231.0,4.68,38.0,122.0,7.09,4.21,38.0,73.0,185.42000000000002
0,Khalid Abdullah,OLB,227.0,4.61,36.5,126.0,7.13,4.25,2.0,136.0,187.96
11,Nick Barnett,OLB,236.0,4.67,34.5,123.0,7.0,4.08,45.0,29.0,187.96
12,Solomon Bates,ILB,243.0,4.89,30.0,112.0,7.23,4.34,4.0,135.0,185.42000000000002
100,Mario Haggan,ILB,252.0,4.88,33.0,110.0,7.55,4.46,5.0,228.0,190.5
