,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
2,Darnell Alford,OT,334.0,5.56,25.0,94.0,8.48,4.98,0.0,188.0,193.04
21,Brad Bedell,OG,302.0,5.07,31.5,103.0,7.76,4.58,4.0,206.0,193.04
42,Cooper Carlisle,OG,297.0,5.16,31.0,100.0,7.82,4.48,6.0,112.0,195.58
56,Travis Claridge,OG,303.0,5.15,31.5,100.0,7.77,4.86,52.0,37.0,195.58
58,Chad Clifton,OT,334.0,5.05,30.5,102.0,7.58,4.73,39.0,44.0,195.58
60,Cosey Coleman,OG,322.0,5.4,28.0,101.0,8.15,4.97,29.0,51.0,193.04
154,Jeno James,OG,320.0,5.62,25.5,94.0,8.51,5.22,19.0,182.0,190.5
169,Leander Jordan,OG,330.0,5.46,31.0,104.0,7.91,4.76,20.0,82.0,193.04
200,Damion McIntosh,OT,328.0,5.31,26.0,97.0,7.72,4.71,27.0,83.0,193.04
205,Brad Meester,C,298.0,5.12,34.0,110.0,7.46,4.43,37.0,60.0,190.5
241,Greg Randall,OT,333.0,5.59,26.0,95.0,8.15,5.13,44.0,127.0,198.12
247,Tutan Reyes,OT,299.0,5.37,26.5,99.0,7.49,4.88,17.0,131.0,190.5
266,Wes Shivers,OT,318.0,5.65,22.5,98.0,8.48,4.81,0.0,237.0,195.58
276,Marvel Smith,OT,320.0,5.37,27.5,100.0,7.87,4.83,36.0,38.0,195.58
286,Mark Tauscher,OG,318.0,5.37,27.0,90.0,7.91,4.84,39.0,224.0,190.5
291,Michael Thompson,OT,305.0,5.28,26.0,104.0,7.99,4.73,4.0,100.0,193.04
301,Todd Wade,OT,326.0,5.22,27.5,101.0,7.68,4.68,42.0,53.0,203.2
316,Bobbie Williams,OT,332.0,5.26,29.0,97.0,7.78,4.72,22.0,61.0,193.04
10,Jeff Backus,OT,310.0,5.37,27.0,99.0,8.27,4.67,36.0,18.0,195.58
75,Leonard Davis,OT,370.0,5.32,28.0,97.0,8.72,5.18,34.0,2.0,198.12
77,Rick DeMulling,OG,307.0,5.24,31.5,108.0,7.62,4.6,27.0,220.0,193.04
79,Ryan Diem,OT,338.0,5.13,34.0,102.0,7.5,4.46,46.0,118.0,200.66
96,Kynan Forney,OG,312.0,5.28,27.0,97.0,8.56,4.7,33.0,219.0,187.96
100,Mike Gandy,OG,305.0,5.2,30.5,103.0,8.03,4.71,27.0,68.0,193.04
104,Roberto Garza,C,303.0,5.0,32.5,114.0,7.71,4.53,16.0,99.0,187.96
117,Ben Hamilton,C,303.0,5.26,33.5,106.0,7.62,4.62,41.0,113.0,195.58
132,Russ Hochstein,OG,300.0,5.4,26.5,95.0,7.85,4.69,4.0,151.0,190.5
154,Jonas Jennings,OT,334.0,5.31,29.5,102.0,8.08,4.93,28.0,95.0,193.04
174,Matt Lehr,OG,290.0,5.28,31.5,111.0,7.59,4.44,15.0,137.0,187.96
177,Victor Leyva,OG,313.0,5.33,30.0,105.0,8.0,4.73,2.0,135.0,190.5
195,Kareem McKenzie,OT,328.0,5.33,33.0,104.0,7.87,4.8,37.0,79.0,198.12
219,Mathias Nkwenti,OG,293.0,5.57,35.5,113.0,7.66,4.18,0.0,111.0,190.5
220,Dennis Norman,OG,305.0,5.16,35.0,107.0,8.08,4.72,16.0,222.0,193.04
224,Chukky Okobi,C,316.0,5.27,32.5,103.0,7.87,4.61,6.0,146.0,185.42000000000002
227,Tupe Peko,C,300.0,5.36,28.0,92.0,8.1,4.56,16.0,217.0,193.04
