,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
48,Doug Chapman,RB,215.0,4.56,38.5,128.0,6.84,4.2,6.0,88.0,152.4
81,Reuben Droughns,RB,215.0,4.66,30.0,115.0,7.34,4.41,23.0,81.0,154.94
171,Curtis Keaton,RB,214.0,4.41,41.5,131.0,6.82,3.93,0.0,97.0,152.4
204,Rondell Mealey,RB,212.0,4.69,33.0,120.0,6.89,4.15,4.0,252.0,182.88
240,Travis Prentice,RB,225.0,4.5,37.0,115.0,6.92,4.4,12.0,63.0,182.88
284,Shyrone Stith,RB,204.0,4.6,35.0,111.0,7.14,4.14,0.0,243.0,170.18
29,Derrick Blaylock,RB,194.0,4.36,35.5,119.0,7.05,4.09,12.0,150.0,152.4
42,Correll Buckhalter,RB,226.0,4.53,40.0,123.0,7.08,4.06,23.0,121.0,182.88
64,Derek Combs,RB,193.0,4.42,35.0,120.0,6.96,4.07,3.0,228.0,182.88
156,Rudi Johnson,RB,227.0,4.57,37.5,119.0,7.32,4.22,34.0,100.0,152.4
288,Anthony Thomas,RB,229.0,4.58,32.5,115.0,7.48,4.44,24.0,38.0,187.96
291,LaDainian Tomlinson,RB,221.0,4.46,40.5,124.0,6.84,4.21,80.0,5.0,152.4
5,Brian Allen,RB,209.0,4.46,33.0,112.0,6.9,4.08,0.0,204.0,175.26
25,Ladell Betts,RB,220.0,4.62,38.0,116.0,7.06,4.06,25.0,56.0,152.4
51,Rock Cartwright,RB,237.0,4.47,35.0,116.0,7.18,4.25,8.0,257.0,172.72
105,DeShaun Foster,RB,222.0,4.57,35.5,119.0,6.82,4.16,31.0,34.0,185.42000000000002
142,Leonard Henry,RB,206.0,4.57,35.0,113.0,7.11,4.29,2.0,241.0,185.42000000000002
232,Adrian Peterson,RB,214.0,4.68,34.0,119.0,7.59,4.6,5.0,199.0,152.4
261,Josh Scobey,RB,218.0,4.42,40.5,124.0,6.96,3.93,3.0,185.0,154.94
314,Domanick Williams,RB,213.0,4.63,32.5,112.0,7.32,4.47,68.0,101.0,175.26
141,Julius Jones,RB,217.0,4.47,37.5,121.0,6.97,4.12,36.0,43.0,152.4
186,Mewelde Moore,RB,209.0,4.65,35.0,118.0,7.05,4.12,26.0,119.0,154.94
294,Michael Turner,RB,237.0,4.49,31.0,114.0,7.5,4.15,26.0,154.0,152.4
329,Quincy Wilson,RB,225.0,4.6,33.5,118.0,7.68,4.36,0.0,219.0,175.26
6,J.J. Arrington,RB,214.0,4.4,35.0,121.0,6.81,4.1,24.0,44.0,175.26
32,Nehemiah Broughton,RB,250.0,4.59,30.0,108.0,7.54,4.28,0.0,222.0,154.94
34,Ronnie Brown,RB,233.0,4.43,34.0,117.0,7.1,4.08,36.0,2.0,182.88
59,DeAndra Cobb,RB,196.0,4.49,34.0,118.0,7.13,4.25,0.0,201.0,152.4
117,Lionel Gates,RB,222.0,4.6,36.0,121.0,7.17,4.1,0.0,236.0,182.88
147,Noah Herron,RB,224.0,4.6,31.0,108.0,6.95,3.97,7.0,244.0,154.94
166,Brandon Jacobs,RB,267.0,4.56,37.0,118.0,7.53,4.46,30.0,110.0,193.04
216,Ryan Moats,RB,210.0,4.46,36.0,117.0,7.22,4.1,14.0,77.0,172.72
220,Vernand Morency,RB,212.0,4.66,33.5,108.0,7.02,4.12,11.0,73.0,152.4
243,Alvin Pearman,RB,208.0,4.63,34.0,114.0,7.06,4.08,5.0,127.0,175.26
284,Eric Shelton,RB,246.0,4.53,38.5,124.0,7.44,4.08,0.0,54.0,185.42000000000002
327,Cadillac Williams,RB,217.0,4.43,35.5,118.0,6.94,4.15,21.0,5.0,154.94
3,Joseph Addai,RB,214.0,4.4,38.5,125.0,7.09,4.47,51.0,30.0,154.94
41,Brian Calhoun,RB,201.0,4.57,31.5,124.0,7.05,4.2,2.0,74.0,175.26
55,P.J. Daniels,RB,214.0,4.64,33.0,116.0,7.13,4.4,0.0,132.0,152.4
90,Marques Hagans,RB,202.0,4.67,35.0,114.0,7.03,4.38,3.0,144.0,175.26
99,Jerome Harrison,RB,201.0,4.47,34.5,124.0,6.77,4.07,14.0,145.0,175.26
138,Maurice Jones-Drew,RB,207.0,4.39,36.0,116.0,7.08,4.38,63.0,60.0,170.18
163,Wali Lundy,RB,214.0,4.48,35.0,111.0,6.99,4.36,10.0,170.0,154.94
209,Jerious Norwood,RB,210.0,4.4,36.5,122.0,6.81,4.25,21.0,79.0,182.88
