,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
12,Rashidi Barnes,S,208.0,4.62,35.0,114.0,6.92,4.32,2.0,225.0,182.88
20,Rogers Beckett,S,207.0,4.62,39.5,119.0,6.48,4.29,20.0,43.0,185.42000000000002
25,Matt Bowen,S,201.0,4.49,33.0,115.0,7.06,4.09,4.0,198.0,185.42000000000002
31,Mike Brown,S,204.0,4.59,36.0,116.0,6.93,4.01,41.0,39.0,152.4
45,Tyrone Carter,S,190.0,4.5,41.0,121.0,6.75,4.19,15.0,118.0,172.72
102,Arturo Freeman,S,188.0,4.5,35.5,124.0,6.91,4.38,11.0,152.0,182.88
161,Eric Johnson,S,215.0,4.6,38.0,121.0,6.96,4.17,20.0,224.0,182.88
176,Kenoy Kennedy,S,221.0,4.71,33.5,113.0,7.08,4.38,25.0,45.0,185.42000000000002
221,Bobby Myers,S,183.0,4.56,37.5,123.0,7.04,4.1,4.0,124.0,185.42000000000002
229,Erik Olson,S,208.0,4.63,35.0,115.0,6.81,4.21,2.0,236.0,185.42000000000002
293,Travares Tillman,S,194.0,4.6,37.5,123.0,6.95,4.29,11.0,58.0,185.42000000000002
15,Idrees Bashir,S,206.0,4.56,40.0,126.0,7.14,4.2,20.0,37.0,187.96
35,James Boyd,S,207.0,4.59,32.5,117.0,7.29,4.24,2.0,94.0,154.94
51,Robert Carswell,S,214.0,4.59,34.0,106.0,7.14,4.18,0.0,244.0,182.88
66,Jarrod Cooper,S,222.0,4.45,41.5,130.0,6.87,3.9,2.0,143.0,182.88
98,Curtis Fuller,S,186.0,4.45,36.0,114.0,7.2,4.21,2.0,127.0,152.4
141,John Howell,S,204.0,4.64,37.0,121.0,6.87,4.12,7.0,117.0,182.88
149,Michael Jameson,S,186.0,4.5,34.5,118.0,7.13,4.2,6.0,165.0,154.94
193,Marlon McCree,S,197.0,4.62,38.0,117.0,7.36,4.1,22.0,233.0,154.94
27,Terreal Bierria,S,216.0,4.61,36.0,130.0,6.93,4.1,12.0,120.0,190.5
179,Michael Lewis,S,211.0,4.6,36.5,122.0,6.96,4.14,29.0,58.0,185.42000000000002
186,Wesly Mallard,S,221.0,4.49,41.0,122.0,6.81,4.07,2.0,188.0,187.96
196,Jon McGraw,S,208.0,4.5,39.5,126.0,6.51,3.92,8.0,57.0,190.5
207,Mel Mitchell,S,220.0,4.55,35.0,128.0,7.0,4.15,8.0,150.0,185.42000000000002
274,Steve Smith,S,193.0,4.62,30.5,110.0,7.0,4.22,0.0,246.0,185.42000000000002
318,Tank Williams,S,222.0,4.46,38.5,125.0,6.78,3.93,29.0,45.0,187.96
319,Coy Wire,S,209.0,4.56,38.5,120.0,6.62,3.87,12.0,97.0,182.88
37,Curry Burns,S,216.0,4.56,36.0,120.0,7.04,4.16,2.0,217.0,182.88
102,Ken Hamlin,S,209.0,4.61,33.0,117.0,6.8,3.92,32.0,42.0,187.96
114,Terrence Holt,S,208.0,4.55,34.5,122.0,6.99,4.03,18.0,137.0,187.96
125,Todd Johnson,S,206.0,4.56,33.5,117.0,7.01,4.19,14.0,100.0,185.42000000000002
146,Terrence Kiel,S,204.0,4.46,38.0,127.0,6.88,3.96,42.0,62.0,154.94
161,Norman LeJeune,S,200.0,4.65,33.5,115.0,7.42,4.21,0.0,244.0,182.88
182,Rashean Mathis,S,202.0,4.45,38.5,123.0,7.09,4.17,49.0,39.0,185.42000000000002
192,Hanik Milligan,S,201.0,4.52,36.5,130.0,7.11,4.18,12.0,188.0,187.96
210,Donnie Nickey,S,220.0,4.65,33.5,119.0,7.08,4.16,6.0,154.0,187.96
216,Derek Pagel,S,208.0,4.57,35.5,115.0,6.87,4.08,2.0,140.0,185.42000000000002
225,Willie Pile,S,206.0,4.57,38.0,125.0,6.77,4.21,9.0,252.0,187.96
248,Gerome Sapp,S,216.0,4.64,36.5,112.0,7.13,4.3,6.0,182.0,182.88
28,Tony Bua,S,209.0,4.67,36.0,120.0,6.75,4.08,2.0,160.0,154.94
55,Erik Coleman,S,200.0,4.64,35.5,117.0,7.03,4.14,28.0,143.0,152.4
167,Keith Lewis,S,204.0,4.6,37.0,121.0,7.28,4.07,8.0,198.0,182.88
216,Etric Pruitt,S,197.0,4.57,39.5,116.0,7.15,4.0,0.0,186.0,182.88
238,Bob Sanders,S,204.0,4.35,41.5,128.0,6.7,3.91,32.0,44.0,172.72
241,Stuart Schweigert,S,218.0,4.47,38.0,124.0,6.68,3.89,16.0,67.0,187.96
306,Rashad Washington,S,223.0,4.61,34.0,116.0,7.06,4.02,6.0,236.0,187.96
43,Josh Bullocks,S,209.0,4.46,37.5,118.0,7.09,4.08,22.0,40.0,182.88
52,Jerome Carter,S,220.0,4.47,35.0,121.0,7.18,4.04,6.0,117.0,154.94
70,Sean Considine,S,212.0,4.5,37.0,117.0,7.09,3.92,12.0,102.0,182.88
81,Thomas Davis,S,230.0,4.6,36.5,115.0,7.09,3.97,27884.0,14.0,185.42000000000002
263,Kerry Rhodes,S,209.0,4.56,42.0,123.0,6.94,4.12,39.0,123.0,187.96
307,Marviel Underwood,S,205.0,4.45,38.0,118.0,7.12,4.21,2.0,115.0,152.4
5,Jason Allen,S,209.0,4.39,39.5,131.0,6.75,3.81,11.0,16.0,185.42000000000002
11,Willie Andrews,S,193.0,4.43,36.5,124.0,6.99,4.27,6.0,229.0,175.26
21,Antoine Bethea,S,203.0,4.39,36.5,127.0,6.99,4.11,35.0,207.0,154.94
24,Darnell Bing,S,227.0,4.53,34.0,120.0,7.25,4.07,0.0,101.0,187.96
35,Daniel Bullocks,S,212.0,4.38,38.0,124.0,6.91,4.16,14.0,40.0,182.88
65,Reed Doughty,S,209.0,4.65,37.0,121.0,6.66,4.17,13.0,173.0,182.88
87,Cedric Griffin,S,199.0,4.51,35.5,125.0,6.84,4.1,24.0,48.0,182.88
161,Calvin Lowry,S,200.0,4.54,36.0,120.0,7.16,4.2,8.0,102.0,154.94
219,Jarrad Page,S,239.0,4.63,38.0,127.0,6.68,4.14,18.0,228.0,182.88
225,Charlie Peprah,S,206.0,4.66,37.5,119.0,6.81,4.09,6.0,158.0,154.94
251,Nate Salley,S,216.0,4.63,40.0,123.0,6.79,4.15,4.0,121.0,187.96
260,Ko Simpson,S,209.0,4.45,40.5,122.0,7.09,4.17,26.0,105.0,185.42000000000002
264,Anthony Smith,S,194.0,4.71,41.0,125.0,6.75,4.35,13.0,83.0,182.88
266,Eric Smith,S,209.0,4.63,40.0,127.0,6.89,4.1,11.0,97.0,185.42000000000002
6,Gerald Alexander,S,210.0,4.51,41.0,124.0,7.24,4.21,11.0,61.0,182.88
97,Eric Frampton,S,204.0,4.61,34.5,122.0,6.84,4.17,4.0,165.0,154.94
103,Josh Gattis,S,206.0,4.51,34.5,121.0,6.72,4.27,0.0,150.0,185.42000000000002
106,Dashon Goldson,S,205.0,4.6,34.5,115.0,7.37,4.46,27.0,126.0,187.96
110,Michael Griffin,S,202.0,4.45,36.0,120.0,6.6,4.1,39.0,19.0,182.88
140,Tanard Jackson,S,200.0,4.52,32.5,121.0,6.89,4.28,97613.0,106.0,182.88
147,Michael Johnson,S,205.0,4.62,33.0,114.0,7.04,4.32,30.0,224.0,190.5
186,Brandon Meriweather,S,195.0,4.47,35.0,111.0,7.06,4.33,25.0,24.0,154.94
205,Chad Nkang,S,220.0,4.52,36.5,118.0,7.1,4.34,2.0,251.0,154.94
218,Kevin Payne,S,220.0,4.6,35.0,106.0,7.0,4.3,22.0,167.0,182.88
223,Sabby Piscitelli,S,224.0,4.47,34.5,122.0,6.84,3.9,10.0,64.0,190.5
282,Daren Stone,S,218.0,4.58,39.0,132.0,7.13,4.44,6.0,203.0,190.5
310,Eric Weddle,S,203.0,4.48,33.5,113.0,6.78,4.12,36.0,37.0,154.94
311,John Wendling,S,222.0,4.48,38.5,129.0,6.96,4.16,5.0,184.0,185.42000000000002
13,Dominique Barber,S,210.0,4.68,34.0,117.0,7.08,4.34,10.0,173.0,182.88
15,Josh Barrett,S,223.0,4.34,31.5,121.0,7.07,4.27,6.0,220.0,187.96
78,Thomas DeCoud,S,207.0,4.5,35.5,122.0,6.85,4.27,31.0,98.0,185.42000000000002
151,Chris Horton,S,212.0,4.54,28.5,109.0,7.34,4.35,16.0,249.0,182.88
221,DaJuan Morgan,S,205.0,4.5,33.0,119.0,7.12,4.41,9.0,82.0,182.88
238,Kenny Phillips,S,212.0,4.48,32.5,121.0,6.97,4.27,16.0,31.0,187.96
35,David Bruton,S,219.0,4.4,41.5,132.0,6.6,4.28,6.0,114.0,187.96
55,Chris Clemons,S,208.0,4.33,37.5,127.0,7.27,4.38,20.0,165.0,182.88
75,Louis Delmas,S,202.0,4.52,37.0,126.0,6.67,4.17,26.0,33.0,154.94
114,Courtney Greene,S,212.0,4.55,34.5,116.0,7.35,4.16,10.0,245.0,182.88
117,Michael Hamlin,S,214.0,4.57,37.5,117.0,7.14,4.42,0.0,166.0,187.96
151,Rashad Johnson,S,203.0,4.49,37.0,120.0,7.09,4.23,12.0,95.0,154.94
197,Darcel McBath,S,198.0,4.53,38.0,119.0,6.8,4.16,6.0,48.0,182.88
216,William Moore,S,221.0,4.49,37.0,123.0,6.81,4.26,26.0,55.0,182.88
229,Troy Nolan,S,206.0,4.58,31.5,117.0,7.06,4.3,6.0,223.0,182.88
255,Glover Quin,S,204.0,4.5,38.0,119.0,7.39,4.43,29.0,112.0,154.94
268,Jamarca Sanford,S,214.0,4.43,33.5,116.0,7.02,4.2,17.0,231.0,152.4
293,Curtis Taylor,S,209.0,4.49,37.5,129.0,7.25,4.23,2.0,219.0,187.96
300,Brandon Underwood,S,198.0,4.48,36.5,125.0,7.0,4.2,4.0,187.0,185.42000000000002
307,Chip Vaughn,S,221.0,4.42,37.0,125.0,7.03,4.12,0.0,116.0,185.42000000000002
12,Larry Asante,S,212.0,4.62,37.5,118.0,7.0,4.17,2.0,160.0,182.88
21,Eric Berry,S,211.0,4.4,43.0,130.0,6.8,4.23,30.0,5.0,182.88
55,Kam Chancellor,S,231.0,4.62,32.0,116.0,7.36,4.41,36.0,133.0,190.5
147,Reshad Jones,S,214.0,4.51,39.5,118.0,7.43,4.54,26.0,163.0,185.42000000000002
169,Kendrick Lewis,S,198.0,4.73,31.5,116.0,6.88,4.33,26.0,136.0,182.88
329,Major Wright,S,206.0,4.44,37.5,119.0,6.95,4.36,20.0,75.0,154.94
