,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
18,Anthony Becht,TE,270.0,4.78,33.5,123.0,6.94,4.08,11.0,27.0,198.12
283,Dave Stachelski,TE,250.0,4.78,38.0,115.0,6.84,4.14,0.0,141.0,190.5
309,James Whalen,TE,228.0,4.78,31.0,110.0,7.42,4.22,2.0,157.0,187.96
310,Austin Wheatley,TE,254.0,4.66,32.5,121.0,6.97,4.18,0.0,158.0,193.04
9,Billy Baber,TE,255.0,4.76,33.0,106.0,7.12,4.19,0.0,141.0,193.04
38,Sean Brewer,TE,255.0,4.73,36.0,117.0,7.37,4.18,0.0,66.0,193.04
72,Alge Crumpler,TE,266.0,4.76,34.0,112.0,7.38,4.43,32.0,35.0,187.96
136,Jabari Holloway,TE,253.0,4.91,38.5,113.0,7.14,4.4,2.0,119.0,187.96
184,Brandon Manumaleuna,TE,275.0,4.99,30.0,106.0,7.49,4.26,6.0,129.0,187.96
197,Shad Meier,TE,256.0,4.85,34.0,113.0,7.14,4.15,3.0,90.0,195.58
222,Dan O'Leary,TE,252.0,5.02,32.0,113.0,7.4,4.31,3.0,195.0,193.04
247,Mike Roberg,TE,256.0,4.75,34.5,117.0,7.28,4.4,0.0,227.0,193.04
276,Tony Stewart,TE,256.0,4.96,35.5,109.0,7.3,4.4,2.0,147.0,195.58
128,Ryan Hannam,TE,251.0,4.69,30.5,113.0,7.07,4.21,2.0,169.0,187.96
139,Keith Heinrich,TE,255.0,4.77,35.0,120.0,6.87,4.1,2.0,174.0,195.58
163,Doug Jolley,TE,251.0,4.6,38.0,117.0,6.9,4.18,12.0,55.0,193.04
164,Terry Jones,TE,265.0,4.79,33.5,111.0,7.43,4.43,5.0,155.0,190.5
185,Chris Luzar,TE,270.0,4.76,32.5,115.0,6.84,4.17,0.0,118.0,200.66
199,Randy McMichael,TE,247.0,4.88,29.5,112.0,7.58,4.28,28.0,114.0,190.5
228,Justin Peelle,TE,255.0,4.75,29.0,110.0,7.34,4.29,3.0,103.0,193.04
256,Robert Royal,TE,253.0,4.97,31.0,114.0,7.37,4.27,5.0,160.0,195.58
49,Dan Curley,TE,254.0,4.63,35.5,118.0,7.47,4.53,0.0,148.0,193.04
158,Donald Lee,TE,249.0,4.82,39.0,120.0,7.42,4.42,11.0,156.0,190.5
207,Spencer Nead,TE,259.0,4.86,28.5,102.0,7.37,4.34,0.0,234.0,193.04
259,Visanthe Shiancoe,TE,251.0,4.65,39.5,120.0,7.09,4.31,5.0,91.0,193.04
263,L.J. Smith,TE,258.0,4.62,37.0,122.0,6.74,4.25,20.0,61.0,190.5
266,Trent Smith,TE,243.0,4.79,35.5,118.0,7.23,4.37,0.0,223.0,195.58
293,Aaron Walker,TE,252.0,4.72,33.5,115.0,7.57,4.3,6.0,161.0,198.12
8,Courtney Anderson,TE,269.0,4.89,30.0,106.0,7.86,4.45,5.0,245.0,198.12
57,Chris Cooley,TE,265.0,4.87,33.0,115.0,7.21,4.19,30.0,81.0,190.5
78,Jeff Dugan,TE,263.0,5.0,28.0,109.0,7.4,4.32,1.0,220.0,193.04
84,Tim Euhus,TE,260.0,4.93,34.5,115.0,6.99,4.13,2.0,109.0,195.58
95,Michael Gaines,TE,275.0,5.06,33.0,109.0,7.44,4.18,7.0,232.0,187.96
116,Ben Hartsock,TE,263.0,4.8,35.0,117.0,7.1,3.98,2.0,68.0,193.04
181,Sean McHugh,TE,264.0,4.92,29.0,115.0,7.36,4.09,2.0,241.0,195.58
307,Benjamin Watson,TE,258.0,4.5,35.5,123.0,7.38,4.11,18.0,32.0,190.5
327,Kris Wilson,TE,248.0,4.62,35.0,119.0,6.88,4.1,2.0,61.0,187.96
11,Billy Bajema,TE,261.0,4.74,31.5,113.0,7.05,4.25,1.0,249.0,195.58
87,Joel Dreessen,TE,260.0,4.72,36.0,113.0,7.09,4.01,11.0,198.0,193.04
279,Bo Scaife,TE,249.0,4.75,32.5,114.0,7.21,4.12,19.0,179.0,190.5
56,Owen Daniels,TE,253.0,4.65,34.5,114.0,6.87,4.1,28.0,98.0,190.5
57,Vernon Davis,TE,254.0,4.38,42.0,128.0,7.0,4.17,25.0,6.0,190.5
74,Anthony Fasano,TE,259.0,4.72,33.5,112.0,6.94,4.34,14.0,53.0,193.04
145,Jeff King,TE,245.0,4.83,32.5,109.0,6.99,4.09,8.0,155.0,195.58
148,Joe Klopfenstein,TE,255.0,4.63,36.0,112.0,7.39,4.21,6.0,46.0,198.12
158,Marcedes Lewis,TE,261.0,4.8,37.0,118.0,7.24,4.82,23.0,28.0,198.12
231,Jason Pociask,TE,266.0,4.84,32.5,115.0,7.31,4.3,0.0,150.0,190.5
233,Leonard Pope,TE,258.0,4.62,37.5,118.0,7.47,4.67,6.0,72.0,203.2
252,Tony Scheffler,TE,254.0,4.54,33.5,115.0,6.81,4.01,20.0,61.0,195.58
280,Quinn Sypniewski,TE,268.0,4.77,32.5,114.0,7.09,4.52,4.0,166.0,198.12
285,David Thomas,TE,252.0,4.67,37.5,113.0,7.05,4.34,9.0,86.0,190.5
37,Kevin Boss,TE,252.0,4.78,35.0,116.0,6.96,4.41,17.0,153.0,198.12
58,Scott Chandler,TE,270.0,4.78,30.0,111.0,7.26,4.32,3.0,129.0,200.66
187,Zach Miller,TE,256.0,4.87,34.0,115.0,7.01,4.42,23.0,38.0,193.04
188,Martrez Milner,TE,252.0,4.79,34.0,117.0,7.35,4.49,0.0,133.0,193.04
210,Greg Olsen,TE,254.0,4.51,35.5,114.0,7.04,4.48,22.0,31.0,198.12
216,Ben Patrick,TE,252.0,4.74,34.5,111.0,7.21,4.31,8.0,215.0,190.5
242,Dante Rosario,TE,244.0,4.78,36.0,115.0,6.96,4.47,8.0,155.0,190.5
19,Martellus Bennett,TE,259.0,4.68,34.0,118.0,7.64,4.53,13.0,61.0,198.12
55,John Carlson,TE,251.0,4.88,30.5,113.0,7.12,4.28,15.0,38.0,195.58
74,Kellen Davis,TE,262.0,4.59,28.0,118.0,7.25,4.38,5.0,158.0,198.12
97,Derek Fine,TE,251.0,4.83,29.0,115.0,6.8,4.19,4.0,132.0,190.5
99,Jermichael Finley,TE,243.0,4.82,27.5,117.0,7.15,4.38,26.0,91.0,193.04
179,Dustin Keller,TE,242.0,4.53,38.0,131.0,6.88,4.14,24.0,30.0,187.96
268,Tom Santi,TE,250.0,4.8,36.0,121.0,7.08,4.27,4.0,196.0,190.5
293,Craig Stevens,TE,254.0,4.59,27.5,114.0,7.07,4.31,4.0,85.0,190.5
302,Jacob Tamme,TE,236.0,4.58,30.0,109.0,6.99,4.27,12.0,127.0,190.5
116,Dan Gronkowski,TE,255.0,4.79,33.0,122.0,6.92,4.26,1.0,255.0,195.58
130,Anthony Hill,TE,262.0,4.84,30.5,107.0,7.31,4.56,0.0,122.0,195.58
