,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
59,Chris Cole,WR,191.0,4.37,37.5,125.0,6.76,4.09,2.0,70.0,182.88
62,Laveranues Coles,WR,192.0,4.41,34.0,115.0,6.89,4.39,44.0,78.0,154.94
76,JaJuan Dawson,WR,199.0,4.55,34.0,117.0,6.96,4.16,13.0,79.0,185.42000000000002
107,Trevor Gaylor,WR,199.0,4.56,37.5,121.0,7.03,4.29,17.0,111.0,190.5
187,Charles Lee,WR,202.0,4.56,35.5,125.0,7.3,4.25,6.0,242.0,185.42000000000002
215,Sylvester Morris,WR,216.0,4.6,34.5,119.0,7.06,4.17,12.0,21.0,190.5
223,Dennis Northcutt,WR,175.0,4.43,37.5,123.0,6.96,4.04,27.0,32.0,152.4
233,Mareno Philyaw,WR,205.0,4.66,39.5,129.0,6.93,4.13,0.0,172.0,187.96
304,Troy Walters,WR,171.0,4.55,32.5,106.0,6.61,3.84,8.0,165.0,167.64000000000001
313,Dez White,WR,218.0,4.62,37.5,124.0,6.91,4.09,19.0,69.0,185.42000000000002
319,James Williams,WR,180.0,4.59,36.0,123.0,7.22,4.16,8.0,175.0,154.94
22,Eddie Berlin,WR,191.0,4.43,39.5,122.0,6.78,4.08,3.0,159.0,154.94
91,Robert Ferguson,WR,205.0,4.48,36.5,120.0,7.24,4.07,16.0,41.0,185.42000000000002
158,Chad Johnson,WR,192.0,4.57,33.0,108.0,7.51,4.14,55.0,36.0,185.42000000000002
163,Kevin Kasper,WR,199.0,4.42,43.5,126.0,6.56,3.73,3.0,190.0,182.88
190,Justin McCareins,WR,209.0,4.51,41.0,129.0,7.06,3.99,28.0,124.0,187.96
192,Quentin McCord,WR,191.0,4.48,36.5,112.0,7.17,4.18,10.0,236.0,152.4
201,Snoop Minnis,WR,171.0,4.57,37.5,115.0,7.06,4.07,10.0,77.0,185.42000000000002
206,Freddie Mitchell,WR,185.0,4.46,39.5,120.0,6.95,4.06,28.0,25.0,154.94
269,Steve Smith,WR,184.0,4.41,38.5,121.0,7.44,4.25,43.0,74.0,175.26
30,Deion Branch,WR,191.0,4.47,36.0,117.0,6.71,3.78,33.0,65.0,175.26
43,Reche Caldwell,WR,194.0,4.53,41.5,130.0,7.0,4.1,20.0,48.0,182.88
48,Tim Carter,WR,190.0,4.32,39.0,126.0,6.68,3.93,9.0,46.0,182.88
71,Andre' Davis,WR,194.0,4.42,39.5,123.0,6.77,4.1,15.0,47.0,185.42000000000002
113,David Givens,WR,217.0,4.56,40.5,126.0,6.82,4.13,23.0,253.0,182.88
134,Herb Haygood,WR,193.0,4.45,33.0,114.0,6.65,4.26,0.0,144.0,154.94
150,Javin Hunter,WR,186.0,4.47,41.0,129.0,6.84,4.04,0.0,206.0,154.94
159,Ron Johnson,WR,225.0,4.7,34.5,118.0,7.12,4.02,2.0,123.0,187.96
189,Lee Mays,WR,190.0,4.55,32.5,119.0,7.08,4.17,2.0,202.0,185.42000000000002
190,Jason McAddley,WR,203.0,4.47,36.5,123.0,6.83,4.09,8.0,149.0,185.42000000000002
